Title,Year,Authors,Venue,PublicationType,JournalTier,Field,StudyType,DataType,DLW_Related,DLW_Signal,DataProvided,CodeProvided,ReplicationPackage,DOI,URL,OpenAlexID,SearchTerm
Export Prices and Markups with a Common Currency: Empirical Evidence from Greek Exporting Firms and Euro Adoption,2022,Kyriakos Drivas; Sarantis Kalyvitis; Margarita Katsimi,SSRN Electronic Journal,Journal article,OtherJournal,International economics,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4145355,https://doi.org/10.2139/ssrn.4145355,https://openalex.org/W4285174513,markup
"Markups, quality, and trade costs",2022,Natalie Chen; Luciana Juvenal,Journal of International Economics,Journal article,OtherJournal,International economics,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jinteco.2022.103627,https://doi.org/10.1016/j.jinteco.2022.103627,https://openalex.org/W2996383770,markup
Fiscal Devaluation with Endogenous Markups: Productivity and Welfare*,2021,Pascal Belan; Clément Carbonnier; Martine Carré,Scandinavian Journal of Economics,Journal article,OtherJournal,International economics,Theory,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/sjoe.12435,https://doi.org/10.1111/sjoe.12435,https://openalex.org/W3135206670,markup
Tariff liberalization and firm-level markups in Indian manufacturing,2021,Subhadip Mukherjee; Rupa Chanda,Economic Modelling,Journal article,OtherJournal,International economics,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2021.105594,https://doi.org/10.1016/j.econmod.2021.105594,https://openalex.org/W3186174547,markup
Does the production approach to markup estimation match a stylized fact?,2023,Tove Forsbacka,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Method,Unknown,Yes,production approach; markup estimation,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4599416,http://dx.doi.org/10.2139/ssrn.4599416,https://openalex.org/W4388505605,markup
Testing the Production Approach to Markup Estimation,2023,Devesh Raval,The Review of Economic Studies,Journal article,OtherJournal,Macro,Method,Firm-level,Yes,production approach; markup estimation,Unknown,Unknown,Unknown,https://doi.org/10.1093/restud/rdad002,https://doi.org/10.1093/restud/rdad002,https://openalex.org/W4316194326,markup
Asymmetric markup responses to monetary shocks over the business cycle,2025,Nicolás Blampied; Scott M. R. Mahadeo,Economica,Journal article,OtherJournal,Macro,Empirical,Macro aggregate,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/ecca.12581,https://doi.org/10.1111/ecca.12581,https://openalex.org/W4410507856,markup
"Borrowing Constraints, Markups, and Misallocation",2025,Huiyu Li; Chen Lian; Yueran Ma; Emily Martell,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5330805,https://doi.org/10.2139/ssrn.5330805,https://openalex.org/W4411845856,markup
Chinese Firms' Productivity and Markup Rates,2025,Zhenxiang Chen; Youhao Sun,Industrial Engineering and Innovation Management,Journal article,OtherJournal,Macro,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.23977/ieim.2025.080202,https://doi.org/10.23977/ieim.2025.080202,https://openalex.org/W4410449438,markup
House Price Markups and Mortgage Defaults,2025,Paul E. Carrillo; William M. Doerner; William D. Larson,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5021695,https://doi.org/10.2139/ssrn.5021695,https://openalex.org/W4406198825,markup
Impact of zero-markup consumable policy and national procurement of coronary stents on hospitalization expenses: an interrupted time series analysis,2025,S. Wu; Kun Wang; Xiao Yang; Ning Liu; Wenxiu Zou; Xiaowei Li; Dong Huang; Tian-Hao Yu,Frontiers in Public Health,Journal article,OtherJournal,Macro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3389/fpubh.2025.1364116,https://doi.org/10.3389/fpubh.2025.1364116,https://openalex.org/W4407002371,markup
Markup polarization and efficacy of monetary policy: A tale of two firms,2025,Eunmi Ko,Economic Modelling,Journal article,OtherJournal,Macro,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2025.107187,https://doi.org/10.1016/j.econmod.2025.107187,https://openalex.org/W4411690735,markup
Markups Across Space and Time,2025,Eric T. Anderson; Sérgio Rebelo; Arlene Wong,The Review of Economic Studies,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/restud/rdaf098,https://doi.org/10.1093/restud/rdaf098,https://openalex.org/W3140303326,markup
Mergers and acquisitions and the aggregate markup,2025,Linyi Cao; Lijun Zhu,Macroeconomic Dynamics,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1017/s1365100525100199,https://doi.org/10.1017/s1365100525100199,https://openalex.org/W4411574461,markup
Unravelling the Markups Changes: The Role of Price Elasticity of Demand and Concentration,2025,Michał Gradzewicz; Jakub Mućk,Central European Journal of Economic Modelling and Econometrics,Journal article,OtherJournal,Macro,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.24425/cejeme.2024.153642,https://doi.org/10.24425/cejeme.2024.153642,https://openalex.org/W4406169691,markup
Unveiling Productivity and Markup Bias: The Role of Price Heterogeneity,2025,Diane Coyle; Ioannis Bournakis; Jen‐Chung Mei,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5187947,https://doi.org/10.2139/ssrn.5187947,https://openalex.org/W4409493419,markup
Double markups under bilateral vertical contracting,2024,Xiao Fu; Guofu Tan,Economics Letters,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econlet.2024.111660,http://dx.doi.org/10.1016/j.econlet.2024.111660,https://openalex.org/W4393090243,markup
"Entry cost, fixed cost and markup: Theory and evidence from the impact of corruption on prices",2024,Yue Liu; Rong Luo,Economic Modelling,Journal article,OtherJournal,Macro,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econmod.2024.106818,https://doi.org/10.1016/j.econmod.2024.106818,https://openalex.org/W4400433570,markup
"Intangible Capital, Markups, and Productivity Growth",2024,Cecilia Jona‐Lasinio; Stefano Manzocchi; Enrico Marvasi,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4822718,http://dx.doi.org/10.2139/ssrn.4822718,https://openalex.org/W4396763860,markup
Market Concentration and Firm Markups: Micro Evidence from an Emerging Market with Inflationary Pressures,2024,Mehmet Selman Çolak; Abdullah Kazdal; Ünal Seven; Muhammed Hasan Yılmaz,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4703871,https://doi.org/10.2139/ssrn.4703871,https://openalex.org/W4391800097,markup
Markups and CPI,2024,Aneta Kosztowniak,JOURNAL OF INTERNATIONAL STUDIES,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.14254/2071-8330.2024/17-2/14,http://dx.doi.org/10.14254/2071-8330.2024/17-2/14,https://openalex.org/W4400310661,markup
Price markdowns to induce customers to opt out of free returns,2024,Sajjad Najafi; Izak Duenyas; Akhil Singla,IISE Transactions,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/24725854.2024.2433128,https://doi.org/10.1080/24725854.2024.2433128,https://openalex.org/W4404914159,markdown
"Prices, markups and wages: inflation and its distributive consequences in Spain, 2021-2023",2024,Jorge Uxó González; Eladio Febrero; Ignacio Álvarez,Structural Change and Economic Dynamics,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.strueco.2024.09.021,https://doi.org/10.1016/j.strueco.2024.09.021,https://openalex.org/W4403097150,markup
Profits and markups during the post-COVID-19 inflation shock in the U.S. economy: a firm-level lens,2024,Leila Davis,European Journal of Economics and Economic Policies Intervention,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.4337/ejeep.2024.0137,https://doi.org/10.4337/ejeep.2024.0137,https://openalex.org/W4402436330,markup
Technical standard regulations and firm markups: evidence from China,2024,Song Zhang; Weijie Hao; Huibo Sun; Na Su,Applied Economics,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/00036846.2024.2364108,https://doi.org/10.1080/00036846.2024.2364108,https://openalex.org/W4399408457,markup
The Current and Expected Pricing Markup as Derived from the Capital Asset Pricing Model and Tobin’s Q and Applied to the UK’s FTSE 100,2024,Paul Hackworth,Journal of risk and financial management,Journal article,OtherJournal,Macro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3390/jrfm17030127,https://doi.org/10.3390/jrfm17030127,https://openalex.org/W4392983398,markup
Are Firm Markups Boosting Inflation? A Post-Keynesian Institutionalist Approach to Markup Inflation in Select Industrialized Countries,2023,Guillermo Matamoros,Review of Political Economy,Journal article,OtherJournal,Macro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1080/09538259.2023.2244440,https://doi.org/10.1080/09538259.2023.2244440,https://openalex.org/W4385810204,markup
Endogenous Firm Competition and the Cyclicality of Markups,2023,Hassan Afrouzi; Luigi Caloi,The Review of Economics and Statistics,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1162/rest_a_01281,https://doi.org/10.1162/rest_a_01281,https://openalex.org/W3122081900,markup
Fair Lending in Car Financing: The Impact of the CFPB's Interventions on Dealer Markups and the Racial Gap,2023,Cheng He; O. Cem Ozturk; Pradeep K. Chintagunta,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4499362,http://dx.doi.org/10.2139/ssrn.4499362,https://openalex.org/W4383041144,markup
Incorporating Theory-Consistent Endogenous Markups into Applied General-Equilibrium Models,2023,James R. Markusen,Journal of Global Economic Analysis,Journal article,OtherJournal,Macro,Empirical,Product-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.21642/jgea.080202af,https://doi.org/10.21642/jgea.080202af,https://openalex.org/W4389720048,markup
Mergers and Markups,2023,Vardges Levonyan; Paolo Mengano,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4466826,http://dx.doi.org/10.2139/ssrn.4466826,https://openalex.org/W4379351656,markup
Oil uncertainty and the price-cost markup: Evidence from U.S. data,2023,Xiaohan Ma,Energy Economics,Journal article,OtherJournal,Macro,Empirical,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.eneco.2023.106728,https://doi.org/10.1016/j.eneco.2023.106728,https://openalex.org/W4377696650,markup
Testing the Sellers’ Inflation Theory: The Role of Markups,2023,Tomás Baioni,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Theory,Macro aggregate,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4537390,http://dx.doi.org/10.2139/ssrn.4537390,https://openalex.org/W4385818769,markup
"The Beginning of the Trend: Interest Rates, Profits, and Markups",2023,Anton Bobrov; James Traina,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4362776,http://dx.doi.org/10.2139/ssrn.4362776,https://openalex.org/W4322579309,markup
"The Importance of Entry in the Business Cycle: What Are the Roles of Markups, Adjustment Costs, and Heterogeneity?",2023,William Gamber,Journal of Political Economy Macroeconomics,Journal article,OtherJournal,Macro,Theory,Macro aggregate,No,,Unknown,Unknown,Unknown,https://doi.org/10.1086/726227,http://dx.doi.org/10.1086/726227,https://openalex.org/W4385515799,markup
The Price of Stability: Volatility and the Rise in Markups during the Great Moderation,2023,Giovanni Colla Rizzi; Friedrich Lucke; Giovanni Morzenti,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4373471,http://dx.doi.org/10.2139/ssrn.4373471,https://openalex.org/W4323063910,markup
Accounting for the Effect of Household Debt on Economic Growth: The Role of Markup Dynamics,2022,Junsang Lee; Hyungsuk Lee,Korea and the World Economy,Journal article,OtherJournal,Macro,Method,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.46665/kwe.2022.08.23.2.91,https://doi.org/10.46665/kwe.2022.08.23.2.91,https://openalex.org/W4312344313,markup
Analisis Investasi dan Penetapan Harga Jual Rumah Berbasis Hibrid Markup - Internal Rate of Return,2022,J. Priyanto Widodo,Jurnal Poli-Teknologi,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.32722/pt.v21i2.4552,https://doi.org/10.32722/pt.v21i2.4552,https://openalex.org/W4387816779,markup
House Price Markups and Mortgage Defaults,2022,Paul E. Carrillo; William M. Doerner; William D. Larson,Journal of money credit and banking,Journal article,OtherJournal,Macro,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/jmcb.12940,https://doi.org/10.1111/jmcb.12940,https://openalex.org/W2796517208,markup
Markup Polarization and Missing Inflation: A Tale of Two Firms,2022,Eunmi Ko,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4015062,https://doi.org/10.2139/ssrn.4015062,https://openalex.org/W4207039720,markup
Markup Shocks and Asset Prices,2022,Alexandre Corhay; Jun E. Li; Jincheng Tong,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4060403,https://doi.org/10.2139/ssrn.4060403,https://openalex.org/W4226165331,markup
Markups and Financial Shocks,2022,Philipp Meinen; Ana Cristina Fermino Soares,The Economic Journal,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/ej/ueac025,https://doi.org/10.1093/ej/ueac025,https://openalex.org/W4225695266,markup
"Markups, inequality and monetary‐fiscal policies",2022,Shiou‐Yen Chu,Scottish Journal of Political Economy,Journal article,OtherJournal,Macro,Method,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1111/sjpe.12312,https://doi.org/10.1111/sjpe.12312,https://openalex.org/W4211035846,markup
"Monetary Policy, Markup Dispersion, and Aggregate TFP",2022,Matthias Meier; Timo Reinelt,The Review of Economics and Statistics,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1162/rest_a_01226,https://doi.org/10.1162/rest_a_01226,https://openalex.org/W3021950608,markup
The impact of zero markup drug policy on patients' healthcare utilization and expense: An interrupted time series study,2022,Zheng Zhu; Junfeng Wang; Yan Sun; Jiawei Zhang; Peien Han; Li Yang,Frontiers in Medicine,Journal article,OtherJournal,Macro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.3389/fmed.2022.928690,https://doi.org/10.3389/fmed.2022.928690,https://openalex.org/W4309113880,markup
The Markup Elasticity of Monetary Non-Neutrality,2022,Christian Höynck; Minghao Li; Donghai Zhang,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4283059,https://doi.org/10.2139/ssrn.4283059,https://openalex.org/W4312812844,markup
"Wealth Effects, Price Markups, and the Neo-Fisherian Hypothesis",2022,Marco Airaudo; Ina Hajdini,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4089057,https://doi.org/10.2139/ssrn.4089057,https://openalex.org/W4225737846,markup
Accounting for the Effect of Government Spending on Income Inequality: Role of Markup Dynamics,2021,Hyungsuk Lee; Junsang Lee; Hyeonsik Yoon,Korea and the World Economy,Journal article,OtherJournal,Macro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.46665/kwe.2021.12.22.3.129,https://doi.org/10.46665/kwe.2021.12.22.3.129,https://openalex.org/W4312924726,markup
An EPQ model with life-time items with multivariate demandwith markdown policy under shortages and inflation,2021,S.R. Singh; Monika Rani,Journal of Physics Conference Series,Journal article,OtherJournal,Macro,Empirical,Macro aggregate,No,,Unknown,Unknown,Unknown,https://doi.org/10.1088/1742-6596/1854/1/012045,https://doi.org/10.1088/1742-6596/1854/1/012045,https://openalex.org/W3157919551,markdown
Dealer Financing in the Subprime Auto Market: Markups and Implicit Subsidies,2021,Mark Jansen; Samuel Kruger; Gonzalo Maturana,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3902847,https://doi.org/10.2139/ssrn.3902847,https://openalex.org/W3192449343,markup
"Demand, Supply And Markup Fluctuations",2021,Carlos Daniel Santos; Luís F. Costa; Paulo Brito,The Economic Journal,Journal article,OtherJournal,Macro,Method,Product-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/ej/ueab090,https://doi.org/10.1093/ej/ueab090,https://openalex.org/W4206459144,markup
"Did the universal zero-markup drug policy lower healthcare expenditures? Evidence from Changde, China",2021,Zixuan Peng; Chaohong Zhan; Xiaomeng Ma; Honghui Yao; Xu Chen; Xinping Sha; Peter C. Coyte,BMC Health Services Research,Journal article,OtherJournal,Macro,Method,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1186/s12913-021-07211-8,https://doi.org/10.1186/s12913-021-07211-8,https://openalex.org/W3211509702,markup
Do Risk Premia Explain Dealer Markups in Municipal Bond Offerings?,2021,Daniel Bergstresser; Patrick Herb,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3881297,https://doi.org/10.2139/ssrn.3881297,https://openalex.org/W3178243290,markup
Food Banks and Retail Markups,2021,John Lowrey; Timothy J. Richards; Stephen F. Hamilton,European Review of Agricultural Economics,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1093/erae/jbab047,https://doi.org/10.1093/erae/jbab047,https://openalex.org/W3208481868,markup
Government intervention and bank markups: Lessons from the global financial crisis for the COVID-19 crisis,2021,Brandon Tan; Deniz Igan; María Soledad Martínez Pería; Nicola Pierri; Andrea Presbitero,Journal of Banking & Finance,Journal article,OtherJournal,Macro,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jbankfin.2021.106320,https://doi.org/10.1016/j.jbankfin.2021.106320,https://openalex.org/W3201824005,markup
"Intangibles, markups, and the measurement of productivity growth",2021,Nicolas Crouzet; Janice Eberly,Journal of Monetary Economics,Journal article,OtherJournal,Macro,Method,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jmoneco.2021.09.005,https://doi.org/10.1016/j.jmoneco.2021.09.005,https://openalex.org/W3193278079,markup
Markups and Financial Shocks,2021,Philipp Meinen; Ana Cristina Fermino Soares,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4025685,https://doi.org/10.2139/ssrn.4025685,https://openalex.org/W4210262814,markup
Physician-Induced Demand: Evidence from China’s Drug Price Zero-Markup Policy,2021,Hanming Fang; Xiaoyan Lei; Julie Shi; Xuejie Yi,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Empirical,Country-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3881515,https://doi.org/10.2139/ssrn.3881515,https://openalex.org/W3190942898,markup
Rising Markups and the Role of Consumer Preferences,2021,Hendrik Döpper; Alexander MacKay; Nathan H. Miller; Joel Stiebale,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3939126,https://doi.org/10.2139/ssrn.3939126,https://openalex.org/W3206098403,markup
The Price of Otologic Procedures: Variation in Markup by Surgical Procedure and Geography in the United States,2021,Daniel Bu; Zachary G. Schwam; Sean N. Neifert; Rocco Ferrandino; Vivian Z. Kaul; Enrique Perez; George B. Wanna; Maura K. Cosetti,Otology & Neurotology,Journal article,OtherJournal,Macro,Empirical,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.1097/mao.0000000000003151,https://doi.org/10.1097/mao.0000000000003151,https://openalex.org/W3142547640,markup
"Wealth Effects, Price Markups, and the Neo-Fisherian Hypothesis",2021,Marco Airaudo; Ina Hajdini,SSRN Electronic Journal,Journal article,OtherJournal,Macro,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3965570,https://doi.org/10.2139/ssrn.3965570,https://openalex.org/W4247670679,markup
Zombie Firms and Markups,2021,Young-Jae Lee,Journal of Industrial Economics and Business,Journal article,OtherJournal,Macro,Unknown,Firm-level,No,,Unknown,Unknown,Unknown,https://doi.org/10.22558/jieb.2021.6.34.3.689,https://doi.org/10.22558/jieb.2021.6.34.3.689,https://openalex.org/W3177767505,markup
The hitchhiker's guide to markup estimation: assessing estimates from financial data,2025,"De Ridder, Maarten; Grassi, Basile; Morzenti, Giovannie",London School of Economics and Political Science Research Online (London School of Economics and Political Science),Journal article,OtherJournal,Other,Method,Firm-level,Yes,markup estimation,Unknown,Unknown,Unknown,,"https://orcid.org/0009-0002-3550-2556>,",https://openalex.org/W7112385718,markup
A flexible cost share approach to markup estimation,2023,Devesh Raval,Economics Letters,Journal article,OtherJournal,Other,Method,Unknown,Yes,markup estimation; cost share,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.econlet.2023.111262,https://doi.org/10.1016/j.econlet.2023.111262,https://openalex.org/W4385144625,markup
A Flexible Cost Share Approach to Markup Estimation,2023,Devesh Raval,SSRN Electronic Journal,Journal article,OtherJournal,Other,Method,Unknown,Yes,markup estimation; cost share,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4392172,http://dx.doi.org/10.2139/ssrn.4392172,https://openalex.org/W4327808669,markup
Markup Estimation: Monetary Values or Physical Quantities?,2023,Shayan Zarifian,SSRN Electronic Journal,Journal article,OtherJournal,Other,Method,Unknown,Yes,markup estimation,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4324846,http://dx.doi.org/10.2139/ssrn.4324846,https://openalex.org/W4320014394,markup
Markup estimation: A comparison of contemporary methods at the example of European food retailers,2021,Maximilian Koppenberg; Stefan Hirsch,Agribusiness,Journal article,OtherJournal,Other,Method,Firm-level,Yes,production function; markup estimation,Unknown,Unknown,Unknown,https://doi.org/10.1002/agr.21711,https://doi.org/10.1002/agr.21711,https://openalex.org/W3182808118,markup
Production Approach Markup Estimators Often Measure Input Wedges,2021,Arshia Hashemi; Ivan Kirov; James Traina,SSRN Electronic Journal,Journal article,OtherJournal,Other,Method,Unknown,Yes,production approach,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3934534,https://doi.org/10.2139/ssrn.3934534,https://openalex.org/W3202951301,markup
Production Approach Markup Estimators Often Measure Input Wedges,2021,Arshia Hashemi; Ivan Kirov; James Traina,SSRN Electronic Journal,Journal article,OtherJournal,Other,Method,Unknown,Yes,production approach,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.3937106,https://doi.org/10.2139/ssrn.3937106,https://openalex.org/W4285551502,markup
Some unpleasant markup arithmetic: Production function elasticities and their estimation from production data,2021,Stephen Bond; Arshia Hashemi; Greg Kaplan; Piotr Żoch,Journal of Monetary Economics,Journal article,OtherJournal,Other,Method,Unknown,Yes,production function,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.jmoneco.2021.05.004,https://doi.org/10.1016/j.jmoneco.2021.05.004,https://openalex.org/W3017109054,markup
Ask the Geek Way: Impacts of Using Markdown in Questions on Answers Received in Online Technical Q&amp;A Communities,2025,Dian Chen; Zhewen Liang; Ben Shaw‐Ching Liu,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences,Journal article,OtherJournal,Other,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.24251/hicss.2025.310,https://doi.org/10.24251/hicss.2025.310,https://openalex.org/W4407208090,markdown
Dealer Financing in the Subprime Auto Market: Markups and Implicit Subsidies,2025,Mark Jansen; Samuel Kruger; Gonzalo Maturana,Management Science,Journal article,OtherJournal,Other,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1287/mnsc.2021.04086,https://doi.org/10.1287/mnsc.2021.04086,https://openalex.org/W4410359898,markup
Estimating factor price markdowns using production models,2025,Michaël Rubens; WU Ying-jie; Mingzhi Xu,International Journal of Industrial Organization,Journal article,OtherJournal,Other,Empirical,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1016/j.ijindorg.2025.103177,https://doi.org/10.1016/j.ijindorg.2025.103177,https://openalex.org/W4411968704,markdown
Markdown Policies for Demand Learning with Forward-Looking Customers,2025,John R. Birge; Hongfan Chen; N. Bora Keskin,Operations Research,Journal article,OtherJournal,Other,Theory,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1287/opre.2019.0402,https://doi.org/10.1287/opre.2019.0402,https://openalex.org/W4410192499,markdown
Markups and Markdowns,2025,Chad Syverson,Annual Review of Economics,Journal article,OtherJournal,Other,Empirical,Individual/household,No,,Unknown,Unknown,Unknown,https://doi.org/10.1146/annurev-economics-081624-080143,https://doi.org/10.1146/annurev-economics-081624-080143,https://openalex.org/W4408436785,markup
PNPMD Markdown,2025,Max Freet; An M. Rodriguez; Adrien Hale,Zenodo (CERN European Organization for Nuclear Research),Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.5281/zenodo.17624139,https://doi.org/10.5281/zenodo.17624139,https://openalex.org/W7105835114,markdown
PNPMD Markdown,2025,Max Freet; An M. Rodriguez; Adrien Hale,Zenodo (CERN European Organization for Nuclear Research),Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.5281/zenodo.17692516,https://doi.org/10.5281/zenodo.17692516,https://openalex.org/W7106491632,markdown
Risk Markups,2025,Sebastian Di Tella; Cedomir Giuseppe Maria Malgieri; Christopher Tonetti,SSRN Electronic Journal,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.5250743,https://doi.org/10.2139/ssrn.5250743,https://openalex.org/W4410312900,markup
An Optimal Inventory System under Markdown Dependent Demand Environment,2024,Himani Dem; Sonia Dua; Sandeep Kumar Mogha,International Journal of Mathematics in Operational Research,Journal article,OtherJournal,Other,Unknown,Unknown,No,,Unknown,Unknown,Unknown,https://doi.org/10.1504/ijmor.2024.10065897,https://doi.org/10.1504/ijmor.2024.10065897,https://openalex.org/W4401525689,markdown
Data and Markups: A Macro-Finance Perspective,2024,Jan Eeckhout; Laura Veldkamp,SSRN Electronic Journal,Journal article,OtherJournal,Other,Empirical,Macro aggregate,No,,Unknown,Unknown,Unknown,https://doi.org/10.2139/ssrn.4775852,https://doi.org/10.2139/ssrn.4775852,https://openalex.org/W4394828549,markup
